stock_code,trade_date,stock_code,equity,cash,cumu_r,nav,volume,buy_sell,operation_price,operation_volume,is_long
600518.SH,2019-04-29,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-30,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-06,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-07,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-08,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-09,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-10,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-13,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-14,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-15,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-16,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-17,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
,2019-05-20,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-21,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-22,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-23,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-24,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-27,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-28,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-29,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-30,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-05-31,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-03,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-04,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-05,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-06,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-10,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-11,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-12,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-13,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-14,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-17,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-18,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-19,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-20,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-21,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-24,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-25,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-26,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-27,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-06-28,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-01,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-02,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-03,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-04,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-05,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-08,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-09,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-10,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-11,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-12,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-15,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-16,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-17,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-18,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-19,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-22,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-23,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-24,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-25,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-26,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-29,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-30,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-07-31,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-01,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-02,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-05,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-06,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-07,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-08,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-09,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-12,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-13,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-14,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-15,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-08-16,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600519.SH,2016-08-01,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-02,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-03,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-04,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-05,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-08,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-09,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-10,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-11,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-12,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-15,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-16,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-17,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-18,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-19,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-22,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-23,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-24,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-25,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-26,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-29,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-30,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-08-31,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-01,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-02,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-05,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-06,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-07,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-08,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-09,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
600519.SH,2016-09-12,600519.SH,0.0,1000.0,0.0,1000.0,0.0,NA,0.0,0.0,0
